itwd,A CSS selector #header targets:,Class,ID,Tag,Attribute,1,# is used for ID selectors,css
itwd,A JavaScript promise is used for:,Loops,Asynchronous operations,Styling,Database queries,1,Promises handle async operations like API calls,javascript
itwd,A database suffers from insertion anomaly due to:,Normalization,Denormalization,Redundancy,Indexing,2,Redundancy leads to anomalies during insert/update,dbms
itwd,A form submission without page reload uses:,AJAX,HTTP,FTP,SMTP,0,AJAX allows asynchronous data submission,javascript
itwd,A CSS flex container aligns items vertically using:,justify-content,align-items,display:flex,float,1,align-items aligns items along cross axis,css
itwd,A JavaScript closure allows:,Variable sharing,Loop execution,DOM rendering,Event removal,0,Closures allow access to outer scope variables,javascript
itwd,A server responds with 403 status. This indicates:,Not found,Forbidden,Success,Redirect,1,403 means access is denied,networking
itwd,A database query retrieves only distinct values using:,SELECT *,SELECT DISTINCT,SELECT UNIQUE,SELECT ALL,1,DISTINCT removes duplicate results,dbms
itwd,A webpage requires scalable typography. The best unit is:,px,em,%,rem,3,rem is scalable and consistent across layouts,css
itwd,A JavaScript array method to add element at end is:,push(),pop(),shift(),slice(),0,push() adds element to end,javascript
itwd,A CSS position:relative moves element based on:,Viewport,Parent,Itself,Screen,2,Relative positioning shifts element from its normal position,css
itwd,A secure login system should use:,Plain text,Encryption,Local storage,None,1,Encryption protects sensitive data,security
itwd,A database table linking two others represents:,Primary key,Foreign key,Join table,Index,2,Join table connects many-to-many relationships,dbms
itwd,A webpage script fails due to undefined variable. This is a:,Syntax error,Runtime error,Logical error,Compilation error,1,Undefined variables cause runtime errors,javascript
itwd,A CSS grid layout defines rows using:,grid-column,grid-row,grid-template-rows,grid-area,2,grid-template-rows defines row sizes,css
itwd,A URL parameter is appended using:,?,#,&,%,0,? starts query string in URL,networking
itwd,A JavaScript object stores data as:,Array,Key-value pairs,Functions only,Numbers only,1,Objects store key-value pairs,javascript
itwd,A database uses ACID properties for:,Speed,Consistency,Security,Storage,1,ACID ensures data consistency,dbms
itwd,A CSS property display:flex creates:,Inline element,Block element,Flexible layout,Grid layout,2,Flex creates flexible layout system,css
itwd,A script prevents default form submission using:,preventDefault(),stop(),cancel(),return false,0,preventDefault stops default behavior,javascript
itwd,A network protocol for file transfer is:,HTTP,FTP,SMTP,TCP,1,FTP is used for file transfer,networking
itwd,A database index primarily improves:,Insert speed,Delete speed,Read speed,Storage,2,Indexes optimize data retrieval,dbms
itwd,A CSS hover effect is triggered using:,hover,:hover,onhover,hover(),1,:hover applies style on mouse hover,css
itwd,A JavaScript setTimeout executes:,Immediately,After delay,Before load,None,1,setTimeout runs after specified delay,javascript
itwd,A webpage SEO improves by using:,Div tags,Semantic tags,Inline CSS,Tables,1,Semantic tags improve SEO ranking,html
itwd,A database normalization reduces:,Speed,Redundancy,Security,Complexity,1,Normalization removes duplicate data,dbms
itwd,A CSS z-index controls:,Width,Height,Stacking order,Color,2,z-index controls element layering,css
itwd,A JavaScript event listener is attached using:,addEventListener(),attachEvent(),listen(),onEvent(),0,addEventListener binds events,javascript
itwd,A network latency affects:,Speed,Security,Storage,None,0,Latency impacts response time,networking
itwd,A SQL WHERE clause filters:,Columns,Rows,Tables,Indexes,1,WHERE filters rows based on condition,dbms
itwd,A CSS padding affects:,Outer space,Inner space,Border,None,1,Padding controls inner spacing,css
itwd,A JavaScript loop that checks condition first is:,do-while,while,forEach,map,1,while checks before execution,javascript
itwd,A webpage caching improves:,Security,Speed,Storage,None,1,Caching reduces load time,performance
itwd,A database constraint prevents null values:,PRIMARY KEY,UNIQUE,NOT NULL,FOREIGN KEY,2,NOT NULL disallows empty values,dbms
itwd,A CSS property float is used for:,Positioning,Alignment,Layout flow,Animation,2,float controls element flow,javascript
itwd,A JavaScript fetch API is used for:,DOM,Network requests,Styling,Loops,1,fetch handles HTTP requests,javascript
itwd,A network firewall provides:,Speed,Security,Storage,None,1,Firewall protects against unauthorized access,networking
itwd,A SQL ORDER BY sorts data in:,Columns,Rows,Tables,Indexes,1,ORDER BY arranges rows,javascript
itwd,A CSS media query applies styles based on:,Device type,Screen size,Resolution,All of these,3,Media queries support responsive design,css
itwd,A JavaScript variable hoisting occurs with:,let,const,var,None,2,var variables are hoisted,javascript
itwd,A database join combines:,Columns,Tables,Rows,Indexes,1,JOIN merges data from tables,dbms
itwd,A webpage uses lazy loading to:,Improve speed,Improve security,Reduce CSS,None,0,Lazy loading loads content only when needed,performance
itwd,A CSS property opacity controls:,Visibility,Transparency,Position,None,1,opacity defines transparency,css
subject,Question,A,B,C,D,answer,explanation,topic
dbms,A table stores duplicate records causing update anomalies. The root problem is:,Normalization,Redundancy,Indexing,Partitioning,1,Redundancy leads to anomalies during insert/update/delete operations,normalization
dbms,A database schema defines:,Data structure,Data values,User interface,Query language,0,Schema describes structure of database not actual data,basics
dbms,A candidate key differs from primary key because it:,Is unique,Can be multiple,Allows nulls,Is indexed,1,There can be multiple candidate keys but only one primary key,keys
dbms,A relation is in 2NF when:,No partial dependency,No transitive dependency,No redundancy,No null values,0,2NF removes partial dependency,normalization
dbms,A relation is in 3NF when:,No redundancy,No transitive dependency,No partial dependency,No duplication,1,3NF removes transitive dependency,normalization
dbms,A query retrieves only unique values using:,SELECT ALL,SELECT DISTINCT,SELECT UNIQUE,SELECT ONLY,1,DISTINCT removes duplicate rows,sql
dbms,A foreign key ensures:,Uniqueness,Referential integrity,Sorting,Performance,1,Foreign key maintains relationship between tables,keys
dbms,A transaction must follow ACID where consistency ensures:,Correct state,Fast execution,Data duplication,Backup,0,Consistency ensures database remains valid after transaction,transactions
dbms,A deadlock occurs when:,Processes wait indefinitely,Memory overflow,Query fails,Disk error,0,Deadlock happens due to circular waiting,transactions
dbms,A join combining rows from two tables based on condition is:,Union,Join,Select,Group,1,Join merges rows based on related columns,sql
dbms,A full table scan slows query performance. Best solution is:,Normalization,Indexing,Partitioning,Backup,1,Indexes improve search speed significantly,indexing
dbms,A database index improves:,Insert speed,Read speed,Delete speed,Storage size,1,Index helps in faster data retrieval,indexing
dbms,A transaction rollback means:,Save changes,Undo changes,Commit changes,Delete data,1,Rollback reverses changes in transaction,transactions
dbms,A relation with no repeating groups satisfies:,1NF,2NF,3NF,BCNF,0,1NF removes repeating groups,normalization
dbms,A table with composite key uses:,Single attribute,Multiple attributes,Foreign key,Index,1,Composite key consists of multiple attributes,keys
dbms,A SQL clause used to filter grouped data is:,WHERE,ORDER BY,GROUP BY,HAVING,3,HAVING filters aggregated results,sql
dbms,A database view is:,Physical table,Virtual table,Index,Schema,1,View is a virtual table based on query,sql
dbms,A trigger executes:,Manually,Automatically,Periodically,Randomly,1,Triggers execute automatically on events,triggers
dbms,A schema change affects:,Structure only,Data only,Queries only,Users only,0,Schema defines structure,basics
dbms,A transaction commit means:,Undo changes,Save changes,Delete changes,Ignore changes,1,Commit permanently saves changes,transactions
dbms,A table without primary key leads to:,Duplication,Uniqueness,Integrity,None,0,Without primary key duplicates can exist,keys
dbms,A SQL DELETE removes:,Table,Rows,Columns,Schema,1,DELETE removes rows from table,sql
dbms,A SQL DROP command removes:,Rows,Columns,Table,Index,2,DROP deletes entire table,sql
dbms,A SQL UPDATE modifies:,Table,Rows,Columns,Schema,1,UPDATE changes existing rows,sql
dbms,A WHERE clause filters:,Columns,Rows,Tables,Indexes,1,WHERE filters records,sql
dbms,A GROUP BY clause is used for:,Sorting,Aggregation,Filtering,Joining,1,GROUP BY groups rows for aggregate functions,sql
dbms,A database constraint enforcing uniqueness is:,PRIMARY KEY,FOREIGN KEY,NOT NULL,CHECK,0,Primary key ensures unique values,keys
dbms,A NOT NULL constraint ensures:,Unique values,No empty values,Foreign relation,Indexing,1,NOT NULL prevents null entries,keys
dbms,A CHECK constraint validates:,Values conditionally,Uniqueness,Sorting,Joining,0,CHECK enforces condition on column,keys
dbms,A database anomaly occurs due to:,Normalization,Redundancy,Indexing,Partitioning,1,Redundancy causes anomalies,normalization
dbms,A relation in BCNF ensures:,No partial dependency,No redundancy,Stronger than 3NF,No keys,2,BCNF is stricter than 3NF,normalization
dbms,A cursor is used to:,Fetch row-by-row,Join tables,Sort data,Delete records,0,Cursor processes rows individually,advanced
dbms,A stored procedure is:,Query,Function,Program,Table,2,Stored procedure is precompiled SQL program,advanced
dbms,A transaction isolation prevents:,Concurrency,Inconsistency,Indexing,Partitioning,1,Isolation ensures consistency in concurrent transactions,transactions
dbms,A database lock ensures:,Concurrency,Integrity,Security,Performance,1,Locks prevent data inconsistency,transactions
dbms,A shared lock allows:,Read only,Write only,Both,None,0,Shared lock allows reading but not writing,transactions
dbms,A exclusive lock allows:,Read only,Write only,Both,None,2,Exclusive lock allows both read and write,transactions
dbms,A database system ensures:,Security,Integrity,Consistency,All of these,3,DBMS ensures all these properties,basics
dbms,A join without condition produces:,Inner join,Outer join,Cross join,Self join,2,Cross join produces cartesian product,sql
dbms,A self join is used when:,Same table joins itself,Two tables join,Three tables join,None,0,Self join joins table with itself,sql
dbms,A left join returns:,Matching rows,All left rows,All right rows,None,1,Left join returns all rows from left table,sql
dbms,A right join returns:,All left rows,All right rows,Matching rows,None,1,Right join returns all rows from right table,sql
dbms,A full join returns:,Left only,Right only,All rows,None,2,Full join returns all rows from both tables,sql
dbms,A database system is designed for:,Data storage,Data retrieval,Data manipulation,All of these,3,DBMS handles all data operations,basics
dbms,A primary key cannot be:,Unique,Null,Indexed,Key,1,Primary key cannot be null,keys
dbms,A composite key contains:,One attribute,Multiple attributes,Foreign key,Index,1,Composite key has multiple columns,keys
dbms,A transaction log stores:,Data,Changes,Queries,Indexes,1,Log stores transaction changes for recovery,transactions
dbms,A recovery system ensures:,Backup,Consistency,Security,Speed,1,Recovery restores database after failure,transactions
subject,Question,A,B,C,D,answer,explanation,topic
dbms,An attribute that uniquely identifies a tuple in every possible relation instance is called:,Super key,Primary key,Candidate key,Alternate key,2,A candidate key is a minimal super key that uniquely identifies tuples,keys
dbms,A super key differs from a candidate key because it:,May contain extra attributes,Must be minimal,Allows nulls,Is always indexed,0,Super key can have redundant attributes while candidate key is minimal,keys
dbms,Choosing one candidate key as primary key implies the others become:,Foreign keys,Alternate keys,Composite keys,Partial keys,1,Non-selected candidate keys are alternate keys,keys
dbms,A relation having composite primary key means:,Single column key,Multiple columns combined as key,Foreign key present,Index created,1,Composite key uses more than one attribute to uniquely identify tuples,keys
dbms,Partial dependency occurs when:,Non-key depends on part of composite key,Key depends on non-key,All attributes depend fully on key,Transitive dependency exists,0,Partial dependency violates 2NF,normalization
dbms,Transitive dependency implies:,Non-key depends on another non-key,Key depends on key,All attributes depend directly on key,Only primary key exists,0,Transitive dependency violates 3NF,normalization
dbms,A relation is in 2NF but not in 3NF when:,Partial dependency exists,Transitive dependency exists,Both dependencies exist,None exist,1,2NF removes partial but not transitive dependency,normalization
dbms,BCNF is stricter than 3NF because it requires:,All determinants are super keys,No nulls allowed,No composite keys,All keys are foreign,0,BCNF removes anomalies where 3NF may still allow some,normalization
dbms,Decomposition is lossless if:,Join restores original relation,No redundancy remains,All attributes are keys,All tables have PK,0,Lossless join ensures no information loss after decomposition,normalization
dbms,Dependency preservation ensures:,All FDs can be enforced without join,No redundancy,No nulls,No indexes,0,All functional dependencies are preserved in decomposed tables,normalization
dbms,A NULL value represents:,Zero,Unknown or missing value,Empty string,Default value,1,NULL denotes unknown or inapplicable value,basics
dbms,Comparisons with NULL using = operator return:,True,False,Unknown,Error,2,Any comparison with NULL yields UNKNOWN,sql
dbms,COUNT(*) differs from COUNT(column) because:,Counts rows vs non-null values,Counts columns vs rows,Counts distinct vs all,No difference,0,COUNT(column) ignores NULLs,sql
dbms,An index on multiple columns is called:,Clustered index,Composite index,Bitmap index,Unique index,1,Composite index covers multiple columns,indexing
dbms,A clustered index organizes:,Table rows physically,Only pointers,Only keys,Only views,0,Clustered index sorts and stores rows physically,indexing
dbms,A non-clustered index stores:,Data rows,Pointers to data rows,Only keys,None,1,Non-clustered index holds pointers to actual data,indexing
dbms,Selectivity of an index refers to:,Number of rows,Uniqueness of values,Size of table,Query count,1,Higher selectivity means more distinct values,indexing
dbms,Bitmap index is best for:,High cardinality columns,Low cardinality columns,Primary keys,Foreign keys,1,Bitmap index suits columns with few distinct values,indexing
dbms,A covering index means:,Index contains all needed columns,Index covers table,Index is unique,Index is clustered,0,Query can be answered from index alone,indexing
dbms,An execution plan is:,Query result,Steps to execute query,Table schema,Index definition,1,Optimizer generates plan for query execution,optimization
dbms,Cost-based optimizer chooses plan based on:,Heuristics only,Statistics and cost,User input,Random choice,1,Uses stats to estimate cheapest plan,optimization
dbms,Using WHERE before GROUP BY is preferred because:,Reduces rows early,Increases cost,No effect,Invalid syntax,0,Filtering early reduces work for aggregation,optimization
dbms,Predicate pushdown means:,Move filters closer to data source,Move joins up,Delay filters,Ignore filters,0,Improves performance by early filtering,optimization
dbms,Join order affects performance because:,Different intermediate sizes,Same cost always,No impact,Only syntax changes,0,Join order can change intermediate result sizes,optimization
dbms,Equi-join uses condition with:,= operator,>,<,LIKE,IN,0,Equi-join matches equality conditions,sql
dbms,Theta join allows:,Only equality,Any comparison operator,No condition,Only LIKE,1,Theta join supports arbitrary predicates,sql
dbms,Natural join automatically:,Uses all common columns,Uses primary key,Uses foreign key,Uses index,0,Matches columns with same names,sql
dbms,Self join is useful for:,Hierarchies,Sorting,Indexing,Clustering,0,Used to relate rows within same table,sql
dbms,Set operator UNION removes:,Duplicates,Columns,Tables,Constraints,0,UNION eliminates duplicate rows,sql
dbms,UNION ALL differs from UNION by:,Keeping duplicates,Removing duplicates,Sorting,Joining,0,UNION ALL retains duplicates,sql
dbms,INTERSECT returns:,Common rows,All rows,Left rows,Right rows,0,Returns rows present in both queries,sql
dbms,EXCEPT returns:,Common rows,Left minus right,Right minus left,All rows,1,Returns rows in first not in second,sql
dbms,View with CHECK OPTION ensures:,Insert/update satisfies view condition,No updates allowed,Only selects allowed,View is indexed,0,Enforces predicate of the view,views
dbms,Materialized view stores:,Query definition only,Precomputed results,Indexes only,Logs only,1,Stores results to speed queries,views
dbms,Updatable view requires:,Single base table often,Multiple joins,Aggregations,Group by,0,Complex views often not updatable,views
dbms,Transaction isolation level READ UNCOMMITTED allows:,Dirty reads,No dirty reads,Serializable behavior,No anomalies,0,May read uncommitted data,transactions
dbms,READ COMMITTED prevents:,Dirty reads,Non-repeatable reads,Phantoms,All anomalies,0,Prevents dirty reads but not others,transactions
dbms,REPEATABLE READ prevents:,Dirty reads and non-repeatable reads,All anomalies,Only phantoms,Nothing,0,Still allows phantom reads in many systems,transactions
dbms,SERIALIZABLE isolation ensures:,Equivalent to serial execution,No locks,High concurrency only,No consistency,0,Strongest isolation level,transactions
dbms,Two-phase locking guarantees:,Serializability,Deadlock freedom,No starvation,No rollback,0,2PL ensures conflict serializability,transactions
dbms,Deadlock detection commonly uses:,Wait-for graph,Index scan,Hashing,Sorting,0,Detects cycles in wait-for graph,transactions
dbms,Deadlock prevention by ordering resources is:,Wait-die,Wound-wait,Resource ordering,Timeout,2,Imposes global order to avoid cycles,transactions
dbms,Timestamp ordering uses:,Timestamps to order operations,Locks only,No control,Indexes,0,Orders transactions by timestamps,transactions
dbms,Write-ahead logging requires:,Log before data write,Data before log,No logging,Only checkpoints,0,Ensures durability and recovery,transactions
dbms,Checkpointing helps in:,Faster recovery,More locks,More redundancy,Indexing,0,Reduces recovery work by marking safe points,transactions
dbms,UNDO operation is used when:,Transaction aborted,Committed,Read-only,Indexed,0,Reverts effects of incomplete transactions,transactions
dbms,REDO operation is used when:,Reapply committed changes,Undo changes,Delete logs,Rebuild index,0,Ensures durability after crash,transactions
dbms,Functional dependency X→Y means:,X determines Y,Y determines X,X equals Y,None,0,Y depends on X functionally,normalization
dbms,Closure of attributes helps to:,Find candidate keys,Sort data,Join tables,Create index,0,Used to compute keys and dependencies,normalization
dbms,Armstrong’s axioms include:,Reflexivity,Augmentation,Transitivity,All of these,3,They define inference rules for FDs,normalization
dbms,Multivalued dependency leads to:,4NF requirement,3NF requirement,2NF requirement,BCNF requirement,0,4NF handles MVDs,normalization
dbms,4NF removes:,Multivalued dependency,Partial dependency,Transitive dependency,Redundancy,0,Ensures no non-trivial MVDs,normalization
dbms,5NF deals with:,Join dependency,FD,Multivalued dependency,Keys,0,Ensures decompositions are lossless for joins,normalization
dbms,Heaps store data:,Unordered,Sorted,Indexed only,Partitioned,0,Heap files have no order,indexing
dbms,B+ tree index is preferred because:,Balanced tree and range queries,Unbalanced tree,Only equality search,No pointers,0,Supports efficient range scans,indexing
dbms,Hash index is best for:,Equality search,Range queries,Sorting,Joins,0,Hashing suits exact match lookups,indexing
dbms,Collision in hashing handled by:,Chaining,Open addressing,Both,Neither,2,Both methods resolve collisions,indexing
dbms,Denormalization is used to:,Improve read performance,Reduce redundancy,Enforce integrity,Reduce storage,0,Trades redundancy for faster reads,optimization
dbms,Vertical partitioning splits table by:,Columns,Rows,Keys,Indexes,0,Separates columns into different tables,optimization
dbms,Horizontal partitioning splits by:,Rows,Columns,Keys,Indexes,0,Divides rows across partitions,optimization
dbms,Sharding refers to:,Distributed horizontal partitioning,Indexing,Clustering,Replication,0,Spreads data across nodes,distributed
dbms,Replication improves:,Availability and read scaling,Write speed only,Consistency only,Security only,0,Copies data across nodes,distributed
dbms,Strong consistency ensures:,Immediate visibility of writes,Eventual visibility,No visibility,Delayed writes,0,All nodes see latest data,distributed
dbms,Eventual consistency means:,Updates propagate over time,Immediate consistency,No consistency,Only local consistency,0,System converges eventually,distributed
dbms,CAP theorem states you can have at most:,Two of consistency, availability, partition tolerance,All three,None,Only one,0,Trade-offs exist under partition,distributed
dbms,OLTP systems are optimized for:,Frequent small transactions,Large analytical queries,Reporting only,Backups,0,Designed for transactional workloads,systems
dbms,OLAP systems are optimized for:,Analytics and aggregates,Transactions only,Indexing only,Networking,0,Used for reporting and analysis,systems
dbms,Star schema uses:,Fact table with dimension tables,Only fact tables,Only dimensions,No keys,0,Common in data warehousing,warehouse
dbms,Snowflake schema normalizes:,Dimensions,Fact tables,Indexes,Keys,0,Dimensions are normalized,warehouse
dbms,Data warehouse is:,Subject-oriented integrated time-variant non-volatile data,Transactional store,Cache,Index,0,Designed for analysis,warehouse
dbms,ETL stands for:,Extract Transform Load,Enter Transfer Load,Extract Transfer Link,Edit Transform Load,0,Pipeline to move and prepare data,warehouse
dbms,Surrogate key is:,Artificial key,Foreign key,Composite key,Natural key,0,System-generated identifier,keys
dbms,Natural key is:,Business meaningful key,Artificial key,Index key,Hash key,0,Derived from real-world data,keys
dbms,Referential action ON DELETE CASCADE means:,Delete child rows,Restrict delete,Set null,Ignore,0,Deletes dependent rows automatically,keys
dbms,ON UPDATE CASCADE means:,Propagate updates to child,Restrict updates,Set null,Ignore,0,Maintains referential integrity on updates,keys
dbms,Check constraint example enforces:,Value range,Uniqueness,Foreign relation,Indexing,0,Validates column values,keys
dbms,Default constraint provides:,Default value when none supplied,Uniqueness,Foreign relation,Indexing,0,Auto-fills missing values,keys
dbms,Prepared statements help in:,Prevent SQL injection and reuse plan,Speed only,Sorting,Indexing,0,Parameterization improves security and performance,security
dbms,SQL injection occurs when:,User input alters query,Index missing,Join used,Group by used,0,Unsanitized input changes query logic,security
dbms,Normalization trade-off may reduce:,Write anomalies,Read performance,Integrity,Consistency,1,More joins can slow reads,normalization
dbms,Window functions operate on:,Set of rows related to current row,Entire table only,Single row only,No rows,0,Provide analytics without collapsing rows,sql
dbms,ROW_NUMBER() assigns:,Unique sequence per partition,Aggregate value,Random number,Index value,0,Numbers rows within partition,sql
dbms,RANK() differs from DENSE_RANK() because:,Skips ranks on ties,Dense skips ranks,No difference,Only order changes,0,RANK leaves gaps after ties,sql
dbms,CTE (WITH clause) is used for:,Readable subqueries,Indexing,Transactions,Clustering,0,Improves query structure,sql
dbms,Subquery in WHERE is evaluated:,Per row or once depending on type,Always once,Always per row,Never,0,Correlated runs per row,sql
dbms,Correlated subquery references:,Outer query columns,Only inner columns,Tables only,Indexes only,0,Depends on outer query values,sql
dbms,EXISTS returns:,True if subquery returns rows,All rows,No rows,Sorted rows,0,Checks existence efficiently,sql
dbms,IN vs EXISTS difference often in:,Performance and semantics,No difference,Only syntax,Only indexing,0,EXISTS can be faster for large sets,sql
dbms,Normalization level to remove repeating groups is:,1NF,2NF,3NF,BCNF,0,1NF ensures atomic attributes,normalization
dbms,Atomic attribute means:,Indivisible value,Composite value,Multivalued,Derived,0,Cannot be broken further,normalization
dbms,Derived attribute example is:,Age from DOB,Name,ID,Address,0,Computed from other attributes,basics
dbms,Weak entity depends on:,Owner entity,Itself,Index,View,0,Identified by owner’s key,ermodel
dbms,Total participation means:,Every entity participates,Some participate,None participate,Optional only,0,All entities must participate,ermodel
dbms,Cardinality describes:,Relationship count,Attribute type,Key type,Index type,0,One-to-many etc.,ermodel
dbms,Aggregation in ER is used for:,Treat relationship as entity,Indexing,Sorting,Clipping,0,Helps model complex relationships,ermodel
dbms,Generalization is:,Bottom-up abstraction,Top-down,Normalization,Indexing,0,Combines entities into higher class,ermodel
dbms,Specialization is:,Top-down abstraction,Bottom-up,Indexing,Sorting,0,Splits entity into subtypes,ermodel
dbms,Disjoint constraint means:,Entity in one subtype only,Multiple subtypes allowed,None allowed,All allowed,0,No overlap among subtypes,ermodel
dbms,Overlap constraint means:,Entity in multiple subtypes,Only one subtype,None allowed,All disallowed,0,Entities can belong to multiple subtypes,ermodel
dbms,Total specialization requires:,Every entity in some subtype,Optional subtype,None,Index,0,All entities must be classified,ermodel
dbms,Partial specialization allows:,Some entities not in subtypes,All in subtypes,None allowed,Only one subtype,0,Optional classification,ermodel
dbms,Logical data independence means:,Change schema without affecting apps,Change data without affecting schema,No change allowed,Only physical changes,0,Decouples logical schema from apps,basics
dbms,Physical data independence means:,Change storage without affecting schema,Change schema without affecting apps,No change,Only logical changes,0,Storage changes are transparent,basics
dbms,Three-level architecture includes:,External, conceptual, internal levels,Only external,Only internal,Only conceptual,0,Separates views and storage,basics
dbms,Data dictionary stores:,Metadata,User data,Logs,Indexes,0,Stores schema information,basics
dbms,Schema vs instance difference is:,Structure vs data snapshot,Same thing,Only data,Only structure,0,Schema is design; instance is current data,basics
dbms,Tuple refers to:,Row,Column,Table,Index,0,Tuple is a row in relation,basics
dbms,Attribute refers to:,Column,Row,Table,Index,0,Attribute is a column,basics
dbms,Domain defines:,Allowed values of attribute,Keys,Indexes,Joins,0,Value set for attribute,basics
dbms,Relational algebra selection σ does:,Filter rows,Project columns,Join tables,Sort,0,Selects tuples matching predicate,algebra
dbms,Projection π does:,Select columns,Filter rows,Join tables,Sort,0,Chooses attributes,algebra
dbms,Cartesian product produces:,All pair combinations,Only matches,Sorted rows,Distinct rows,0,Combines every tuple pair,algebra
dbms,Join in algebra is:,Selection over product,Projection only,Union only,Difference only,0,Join = σ over Cartesian product,algebra
dbms,Set difference returns:,Rows in A not in B,Common rows,All rows,Sorted rows,0,Removes tuples of B from A,algebra
dbms,Rename operator ρ is used for:,Renaming relations/attributes,Sorting,Joining,Filtering,0,Improves readability,algebra
dbms,Division operator returns:,Tuples related to all values,Common tuples,All tuples,None,0,Useful for “for all” queries,algebra
dbms,Outer join retains:,Unmatched rows,Only matched rows,None,Sorted rows,0,Includes non-matching tuples,sql
dbms,Anti-join returns:,Non-matching rows,Matching rows,All rows,None,0,Rows in one table without matches,sql
dbms,Window frame defines:,Subset around current row,Whole table,Only first row,None,0,Controls rows for window function,sql
dbms,Partition by in window functions:,Divides rows into groups,Sorts rows,Joins tables,Indexes,0,Computes per partition,sql
dbms,Order by in window functions:,Defines sequence,Filters rows,Joins tables,Indexes,0,Determines processing order,sql
dbms,Having vs where difference is:,After vs before aggregation,Same,Only syntax,Only indexing,0,HAVING filters groups,sql
dbms,Scalar subquery returns:,Single value,Multiple rows,Table,Index,0,Used in expressions,sql
dbms,Correlated subquery cost is often:,Higher,Lower,Same,None,0,Executed per row,sql
dbms,Index maintenance cost affects:,Writes more than reads,Reads only,Nothing,Sorting,0,Indexes slow inserts/updates,indexing
dbms,Fill factor in indexes controls:,Page fullness,Row count,Key size,Join order,0,Leaves space for growth,indexing
dbms,Heap vs index-organized table differs by:,Storage order,Keys,Constraints,Views,0,IOT stores by index order,indexing
dbms,Clustered tables group:,Related rows together,Random rows,Indexes,Views,0,Improves locality,indexing
dbms,Bitmap index drawback is:,Poor for frequent updates,Good for updates,No space,No speed,0,Bitmaps costly to update,indexing
dbms,Query hint is used to:,Influence optimizer,Change data,Create index,Drop table,0,Guides plan selection,optimization
dbms,Statistics are used for:,Cardinality estimation,Index creation,Join creation,Constraint,0,Optimizer relies on stats,optimization
dbms,Histogram helps with:,Skewed data distribution,Indexing,Sorting,Joins,0,Improves estimates,optimization
dbms,Join algorithm for large tables is often:,Hash join,Nested loop,Merge join only,Index join only,0,Hash join efficient for large datasets,optimization
dbms,Nested loop join is best when:,Small outer and indexed inner,Large tables,No indexes,Sorted data,0,Efficient with small outer set,optimization
dbms,Merge join requires:,Sorted inputs,Unsorted inputs,No condition,Index only,0,Works on sorted relations,optimization
dbms,Partition pruning reduces:,Data scanned,Indexes,Keys,Views,0,Skips irrelevant partitions,optimization
dbms,Predicate selectivity affects:,Plan choice,Schema,Keys,Views,0,Impacts optimizer decisions,optimization
dbms,Adaptive plans can:,Change at runtime,Never change,Only compile time,Only parse time,0,Adjust based on actual stats,optimization
dbms,Materialization vs pipelining differs by:,Intermediate storage,Keys,Indexes,Views,0,Materialization stores intermediates,optimization
dbms,ACID durability ensures:,Committed data persists,Fast reads,No locks,No logs,0,Survives crashes,transactions
dbms,Consistency anomalies include:,Dirty read,Lost update,Non-repeatable read,All of these,3,Common concurrency anomalies,transactions
dbms,Lost update occurs when:,Two writes overwrite each other,Reads overlap,No writes,Higher isolation,0,Concurrent writes conflict,transactions
dbms,Phantom read occurs when:,New rows appear on requery,Same rows change,No rows change,All rows fixed,0,Range queries see new rows,transactions
dbms,Serializable schedule is:,Equivalent to some serial order,Random,Parallel only,Sequential only,0,Ensures correctness,transactions
dbms,Conflict serializability uses:,Precedence graph,Sorting,Hashing,Indexing,0,Checks for cycles,transactions
dbms,Strict 2PL ensures:,No cascading aborts,More deadlocks,No locks,No logs,0,Holds locks till commit,transactions
dbms,Cascading abort occurs when:,Dependent transactions abort,Independent commit,No aborts,All commit,0,Propagation of failures,transactions
dbms,Durability is achieved via:,Logging and checkpoints,Indexes,Views,Constraints,0,Recovery mechanisms ensure durability,transactions
dbms,Undo/redo logging requires:,Write-ahead logging,Read-ahead,No logging,Index logging,0,Log before data write,transactions
dbms,Data security includes:,Authentication,Authorization,Encryption,All of these,3,Protects data access,security
dbms,Role-based access control uses:,Roles to assign permissions,Users only,Tables only,Indexes only,0,Simplifies permission management,security
dbms,Encryption at rest protects:,Stored data,Data in transit,Queries,Indexes,0,Secures data on disk,security
dbms,Encryption in transit protects:,Network data,Stored data,Indexes,Logs,0,Uses TLS/SSL,security
dbms,Audit logs track:,Access and changes,Only errors,Only queries,Only indexes,0,Important for compliance,security
dbms,Data masking is used to:,Hide sensitive data,Encrypt data,Delete data,Index data,0,Shows obfuscated values,security
dbms,Backup types include:,Full, incremental, differential,Only full,Only incremental,Only differential,0,Various strategies exist,backup
dbms,Incremental backup stores:,Changes since last backup,All data,Only logs,Only indexes,0,Saves storage and time,backup
dbms,Differential backup stores:,Changes since last full,All data,Only logs,Only indexes,0,Grows until next full,backup
dbms,Point-in-time recovery uses:,Logs and backups,Indexes,Views,Constraints,0,Restores to specific time,backup
dbms,Hot backup means:,While system running,Offline,No backup,Only logs,0,No downtime,backup
dbms,Cold backup means:,System offline,Online,No logs,Only indexes,0,Taken when DB is stopped,backup
dbms,Checksum helps to:,Detect corruption,Encrypt data,Index data,Join tables,0,Verifies data integrity,backup
